ref no,name,url
DL02011876,Gwayer Hall,builtDetail.do?refId=11876&state=07
DL02011875,Delhi University Office Vice Chancellor s Residence,builtDetail.do?refId=11875&state=07
DL02011874,Faculty of Arts,builtDetail.do?refId=11874&state=07
DL02012349,Tripolia Gateway,builtDetail.do?refId=12349&state=07
DL02012326,Gateway of Mahaldar Khan s Garden,builtDetail.do?refId=12326&state=07
DL02012359, Badi mosque  mosque of Shah Wajid,builtDetail.do?refId=12359&state=07
DL06011714,Gateway to Katra Mohan,builtDetail.do?refId=11714&state=07
DL02011872,Ammunition Store,builtDetail.do?refId=11872&state=07
DL02011873,Ammunition Store,builtDetail.do?refId=11873&state=07
DL02012545,Embankment,builtDetail.do?refId=12545&state=07
DL02012544,Coronation Park,builtDetail.do?refId=12544&state=07
DL08012458,Tomb of Akbar Khan Azim Khan,builtDetail.do?refId=12458&state=07
DL09011798,Mosque,builtDetail.do?refId=11798&state=07
DL09012077,Plinth and wells,builtDetail.do?refId=12077&state=07
DL05012257,Gumti,builtDetail.do?refId=12257&state=07
DL05012212,Burman Residence,builtDetail.do?refId=12212&state=07
DL09012075,Chaupal,builtDetail.do?refId=12075&state=07
DL09012074,Tomb,builtDetail.do?refId=12074&state=07
DL09011855,Grave of Azim Shah,builtDetail.do?refId=11855&state=07
DL09011843,Grave of Shaikh Burhanuddin Mahmud Balkhi,builtDetail.do?refId=11843&state=07
DL09011832,Grave of Shaikh Najmuddin Sughra,builtDetail.do?refId=11832&state=07
DL09012098,Building Unnamed ,builtDetail.do?refId=12098&state=07
DL08012256,Sarai of Sheikh Inayatullah ,builtDetail.do?refId=12256&state=07
DL09012041,Shahi Masjid,builtDetail.do?refId=12041&state=07
DL06012358,Jain Temple,builtDetail.do?refId=12358&state=07
DL09011600,Eastern gateway,builtDetail.do?refId=11600&state=07
DL08012099,Stables,builtDetail.do?refId=12099&state=07
DL08012019,Arched Dalans,builtDetail.do?refId=12019&state=07
DL08011970,Domed Building,builtDetail.do?refId=11970&state=07
DL09011849,Arched Dalan ,builtDetail.do?refId=11849&state=07
DL09011749,Mosque,builtDetail.do?refId=11749&state=07
DL09011591,Unknown Building,builtDetail.do?refId=11591&state=07
DL09011704,Tomb of Makhdum Samsuddin,builtDetail.do?refId=11704&state=07
DL09011840,Gateway ,builtDetail.do?refId=11840&state=07
DL06011792,Residence,builtDetail.do?refId=11792&state=07
DL09011702,Wall Mosque ,builtDetail.do?refId=11702&state=07
DL09011802,Tomb ,builtDetail.do?refId=11802&state=07
DL09011791,Wall Mosque,builtDetail.do?refId=11791&state=07
DL09011772,Tomb,builtDetail.do?refId=11772&state=07
DL06012357,Shri Digambar Jain Mandir,builtDetail.do?refId=12357&state=07
DL06012356,Residence,builtDetail.do?refId=12356&state=07
DL02012428,Archaeological Museum,builtDetail.do?refId=12428&state=07
DL09011773,Wall Mosque,builtDetail.do?refId=11773&state=07
DL09011761,Langar Khana,builtDetail.do?refId=11761&state=07
DL09011760,Grave of the Nawabs of Banda,builtDetail.do?refId=11760&state=07
DL09011790,Grave of Faiz Ali Khan,builtDetail.do?refId=11790&state=07
DL09011782,Grave of Faiz Muhammad Khan,builtDetail.do?refId=11782&state=07
DL09011752,Grave of Nijabat Ali Khan,builtDetail.do?refId=11752&state=07
DL02012235,Parish Hall,builtDetail.do?refId=12235&state=07
DL08012456,Chihaltan Chihalman,builtDetail.do?refId=12456&state=07
DL02012229,Kucheri Court for Traffic offences,builtDetail.do?refId=12229&state=07
DL08012378,Yog Maya Temple,builtDetail.do?refId=12378&state=07
DL09011781,Temple of Jog Maya,builtDetail.do?refId=11781&state=07
DL09011771,Mosque of Makhdum Sahib,builtDetail.do?refId=11771&state=07
DL09012159,Domed Building Vishv Vyapi Ram Naam Jai Shiv ,builtDetail.do?refId=12159&state=07
DL09011784,Munda Gumbad,builtDetail.do?refId=11784&state=07
DL09011770,Residence,builtDetail.do?refId=11770&state=07
DL09011742,Residence,builtDetail.do?refId=11742&state=07
DL09011730,Grave of Mirza Shabbu,builtDetail.do?refId=11730&state=07
DL09011732,Residence,builtDetail.do?refId=11732&state=07
DL09011725,Tomb of Shaikh Ziyauddin Rumi,builtDetail.do?refId=11725&state=07
DL09011734,Grave of Bibi Sara,builtDetail.do?refId=11734&state=07
DL08012254,Primary Health Centre,builtDetail.do?refId=12254&state=07
DL08012325,Mosque of Quazian,builtDetail.do?refId=12325&state=07
DL08012523,Hizron ka Khanqah ,builtDetail.do?refId=12523&state=07
DL09011733,Grave of Sayyid Muhammad,builtDetail.do?refId=11733&state=07
DL09011768,Grave of Zabita Khan,builtDetail.do?refId=11768&state=07
DL09011724,Mosque of Akhodji,builtDetail.do?refId=11724&state=07
DL09011767,Mosque,builtDetail.do?refId=11767&state=07
DL09011766,Grave of Biwi Zainab,builtDetail.do?refId=11766&state=07
DL09011759,Grave of Bibi Jannat,builtDetail.do?refId=11759&state=07
DL05012053,Jaipur Column,builtDetail.do?refId=12053&state=07
DL09011722,Grave of Shaikh Imamuddin Abdal,builtDetail.do?refId=11722&state=07
DL09011721,Grave of Bibi Fatima Sahiba,builtDetail.do?refId=11721&state=07
DL09011837,Dargah Hazrat Syed,builtDetail.do?refId=11837&state=07
DL06011713,Gateway and Residence,builtDetail.do?refId=11713&state=07
DL09011765,Tomb Enclosure ,builtDetail.do?refId=11765&state=07
DL09011636,The Baghi Nazir  ,builtDetail.do?refId=11636&state=07
DL09011836,Grave of Nawab Khan-i Khanan,builtDetail.do?refId=11836&state=07
DL09011758,Dargah of Hazrat Inayat Khan,builtDetail.do?refId=11758&state=07
DL09011545,Wall Mosque Enclosure,builtDetail.do?refId=11545&state=07
DL09011549,Grave of Kalmuddin,builtDetail.do?refId=11549&state=07
DL09012072,Wall mosque,builtDetail.do?refId=12072&state=07
DL09011413,Gurudwara Damdama Sahib,builtDetail.do?refId=11413&state=07
DL09011541,Bhagwan Dharamshala,builtDetail.do?refId=11541&state=07
DL09011746,Wall Mosque,builtDetail.do?refId=11746&state=07
DL09012677,Eastern Gateway,builtDetail.do?refId=12677&state=07
DL09011694,Minar,builtDetail.do?refId=11694&state=07
DL09011426,Shiv Mandir,builtDetail.do?refId=11426&state=07
DL05012454,Mosque ,builtDetail.do?refId=12454&state=07
DL09011695,Northern Gateway of Inner Enclosure,builtDetail.do?refId=11695&state=07
DL09011676,Well,builtDetail.do?refId=11676&state=07
DL06011688,Gateway to Maliwara,builtDetail.do?refId=11688&state=07
DL09012110,Mahfil khana,builtDetail.do?refId=12110&state=07
DL06011679,Gateway to Kuncha Chaudhary,builtDetail.do?refId=11679&state=07
DL09011691,Mosque,builtDetail.do?refId=11691&state=07
DL09011454,Ramesh Chand Kiranewala Dharamshala,builtDetail.do?refId=11454&state=07
DL09011682,Well,builtDetail.do?refId=11682&state=07
DL06011870,St.Mary s Church,builtDetail.do?refId=11870&state=07
DL09011678,Mosque,builtDetail.do?refId=11678&state=07
DL02012126,Police Station,builtDetail.do?refId=12126&state=07
DL09011683,Mosque of Dhaula Peer,builtDetail.do?refId=11683&state=07
DL09011675,Grave Enclosure,builtDetail.do?refId=11675&state=07
DL09011670,Graves of Oraisa Hazrat Azmal Khan,builtDetail.do?refId=11670&state=07
DL09011474,Eastern Gateway of Inner Enclosure ,builtDetail.do?refId=11474&state=07
DL09011319,Eastern Gateway of Inner Enclosure ,builtDetail.do?refId=11319&state=07
DL09011669,Prajapati Dharmshala,builtDetail.do?refId=11669&state=07
DL09011668,Dudhiya Dharamshala,builtDetail.do?refId=11668&state=07
DL05012164,Mosque Imambara Hazrat Khwaja Billah Dargah ,builtDetail.do?refId=12164&state=07
DL09011666,Urs Mahal,builtDetail.do?refId=11666&state=07
DL09011665,Sewa Dharmshala,builtDetail.do?refId=11665&state=07
DL05012216,ECE House ,builtDetail.do?refId=12216&state=07
DL09011664,Choor Bazar Drwaja,builtDetail.do?refId=11664&state=07
DL06012062,Municipal Corporation Primary School,builtDetail.do?refId=12062&state=07
DL09011663,Gateway of Inner Enclosure,builtDetail.do?refId=11663&state=07
DL09011662,Grave Enclosure,builtDetail.do?refId=11662&state=07
DL06012122,Haveli,builtDetail.do?refId=12122&state=07
DL09011660,Wall Mosque,builtDetail.do?refId=11660&state=07
DL06012054, Chitra Gupta Temple ,builtDetail.do?refId=12054&state=07
DL08011659,Grave Platform,builtDetail.do?refId=11659&state=07
DL09012542,Enclosure,builtDetail.do?refId=12542&state=07
DL09011307,Dargah Hazrat Sheikh Najibuddin Firdausi,builtDetail.do?refId=11307&state=07
DL09012541,Mosque,builtDetail.do?refId=12541&state=07
DL08011651,Wall Mosque,builtDetail.do?refId=11651&state=07
DL05011975,Hari Masjid ,builtDetail.do?refId=11975&state=07
DL09011650,Wall Mosque,builtDetail.do?refId=11650&state=07
DL09012058,Pahar,builtDetail.do?refId=12058&state=07
DL09011652,Gateway,builtDetail.do?refId=11652&state=07
DL06012059,Enclosure walls Qila Qadam Shrief,builtDetail.do?refId=12059&state=07
DL09011646,"Haveli, No.703",builtDetail.do?refId=11646&state=07
